ARES_R_RIGHT_V1 513 0.080000000000000002 1788764604 2
1.537999987602234 -6.926000118255615 189.1380004882812 -0.09517280368620025 -0.04333652528685755 1.491610668446672
-6.133185307179586 -2.031661564992912 -2.1189280275926285 -6.133185307179586 -1.9443951023931954 -6.133185307179586
6.133185307179586 2.031661564992912 2.1189280275926285 6.133185307179586 1.9443951023931954 6.133185307179586
0.6952933669090271 0.061790455132722855 0.7415348887443542 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933762222528 0.061790455714799464 0.7415348887443542 -3.7409987822175026 -0.47439467906951904 1.7107169441878796
0.6952933855354786 0.06179045629687607 0.7415348887443542 -3.7409988194704056 -0.47439467906951904 1.710716925561428
0.6952933948487043 0.06179045687895268 0.7415348887443542 -3.7409988567233086 -0.47439467906951904 1.7107169069349766
0.6952934041619301 0.06179045746102929 0.7415348887443542 -3.7409988939762115 -0.47439467906951904 1.710716888308525
0.6952934134751558 0.0617904580431059 0.7415348887443542 -3.7409989312291145 -0.47439467906951904 1.7107168696820736
0.6952934227883816 0.06179045862518251 0.7415348887443542 -3.7409989684820175 -0.47439467906951904 1.710716851055622
0.6952934265136719 0.06179045850876719 0.7415348831564188 -3.740998938679695 -0.47439467906951904 1.7107168436050415
0.6952934265136719 0.06179045792669058 0.741534873843193 -3.740998864173889 -0.47439467906951904 1.7107168436050415
0.6952934265136719 0.06179045734461397 0.7415348645299673 -3.740998789668083 -0.47439467906951904 1.7107168436050415
0.6952934265136719 0.06179045676253736 0.7415348552167416 -3.740998715162277 -0.47439467906951904 1.7107168436050415
0.6952934265136719 0.06179045618046075 0.7415348459035158 -3.7409986406564713 -0.47439467906951904 1.7107168436050415
0.6952934265136719 0.06179045559838414 0.7415348365902901 -3.7409985661506653 -0.47439467906951904 1.7107168436050415
0.6952934246510267 0.061790455249138176 0.7415348291397095 -3.740998513996601 -0.47439467906951904 1.7107168473303318
0.695293415337801 0.061790455831214786 0.7415348291397095 -3.740998551249504 -0.47439467906951904 1.7107168659567833
0.6952934060245752 0.061790456413291395 0.7415348291397095 -3.740998588502407 -0.47439467906951904 1.7107168845832348
0.6952933967113495 0.061790456995368004 0.7415348291397095 -3.74099862575531 -0.47439467906951904 1.7107169032096863
0.6952933873981237 0.06179045757744461 0.7415348291397095 -3.740998663008213 -0.47439467906951904 1.7107169218361378
0.695293378084898 0.06179045815952122 0.7415348291397095 -3.740998700261116 -0.47439467906951904 1.7107169404625893
0.6952933687716722 0.06179045874159783 0.7415348291397095 -3.740998737514019 -0.47439467906951904 1.7107169590890408
0.6952933669090271 0.061790458392351866 0.7415348365902901 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933669090271 0.06179045781027526 0.7415348459035158 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933669090271 0.06179045722819865 0.7415348552167416 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933669090271 0.06179045664612204 0.7415348645299673 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933669090271 0.06179045606404543 0.741534873843193 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952933669090271 0.06179045548196882 0.7415348831564188 -3.7409987449645996 -0.47439467906951904 1.710716962814331
0.6952946074306965 0.06178984325379133 0.7415343709290028 -3.7409988194704056 -0.4743943754583597 1.7107169553637505
0.69529770873487 0.061788313556462526 0.741533076390624 -3.7409990057349205 -0.4743936164304614 1.710716936737299
0.6953008100390434 0.06178678385913372 0.7415317818522453 -3.7409991919994354 -0.4743928574025631 1.7107169181108475
0.6953039113432169 0.061785254161804914 0.7415304873138666 -3.7409993782639503 -0.4743920983746648 1.710716899484396
0.6953070126473904 0.06178372446447611 0.7415291927754879 -3.7409995645284653 -0.47439133934676647 1.7107168808579445
0.6953101139515638 0.0617821947671473 0.7415278982371092 -3.74099975079298 -0.47439058031886816 1.710716862231493
0.6953132152557373 0.0617806650698185 0.7415266036987305 -3.740999937057495 -0.47438982129096985 1.7107168436050415
0.6953348871320486 0.0617699536960572 0.7415175419300795 -3.7410010546445847 -0.4743844894692302 1.7107168436050415
0.6953565590083599 0.061759242322295904 0.7415084801614285 -3.741002172231674 -0.4743791576474905 1.7107168436050415
0.6953782308846712 0.06174853094853461 0.7414994183927774 -3.7410032898187637 -0.47437382582575083 1.7107168436050415
0.6953999027609825 0.06173781957477331 0.7414903566241264 -3.7410044074058533 -0.47436849400401115 1.7107168436050415
0.6954215746372938 0.061727108201012015 0.7414812948554754 -3.741005524992943 -0.4743631621822715 1.7107168436050415
0.6954432465136051 0.06171639682725072 0.7414722330868244 -3.7410066425800323 -0.4743578303605318 1.7107168436050415
0.6954872142523527 0.061694668838754296 0.741453867405653 -3.741009011864662 -0.47434701677411795 1.7107168212532997
0.6955460458993912 0.061665596440434456 0.7414292991161346 -3.741012215614319 -0.4743325486779213 1.7107167840003967
0.6956048775464296 0.061636524042114615 0.7414047308266163 -3.7410154193639755 -0.47431808058172464 1.7107167467474937
0.6956637091934681 0.061607451643794775 0.7413801625370979 -3.741018623113632 -0.474303612485528 1.7107167094945908
0.6957225408405066 0.061578379245474935 0.7413555942475796 -3.741021826863289 -0.47428914438933134 1.7107166722416878
0.695781372487545 0.061549306847155094 0.7413310259580612 -3.7410250306129456 -0.4742746762931347 1.7107166349887848
0.6958513520658016 0.061514725792221725 0.7413018047809601 -3.741028815507889 -0.47425746731460094 1.7107165940105915
0.6959659233689308 0.06145811011083424 0.7412539720535278 -3.7410349249839783 -0.4742292948067188 1.710716538131237
0.69608049467206 0.06140149442944676 0.7412061393260956 -3.7410410344600677 -0.4742011222988367 1.7107164822518826
0.6961950659751892 0.06134487874805927 0.7411583065986633 -3.7410471439361572 -0.4741729497909546 1.710716426372528
0.6963096372783184 0.06128826306667179 0.7411104738712311 -3.7410532534122467 -0.47414477728307247 1.7107163704931736
0.6964242085814476 0.061231647385284305 0.7410626411437988 -3.741059362888336 -0.47411660477519035 1.7107163146138191
0.6965387798845768 0.06117503170389682 0.7410148084163666 -3.7410654723644257 -0.47408843226730824 1.7107162587344646
0.696709506213665 0.06109086284413934 0.7409436777234077 -3.7410745918750763 -0.4740465469658375 1.7107161581516266
0.696894271299243 0.060999805689789355 0.7408667225390673 -3.741084463894367 -0.47400123346596956 1.7107160463929176
0.6970790363848209 0.06090874853543937 0.7407897673547268 -3.741094335913658 -0.47395591996610165 1.7107159346342087
0.6972638014703989 0.06081769138108939 0.7407128121703863 -3.741104207932949 -0.47391060646623373 1.7107158228754997
0.6974485665559769 0.06072663422673941 0.7406358569860458 -3.74111407995224 -0.4738652929663658 1.7107157111167908
0.6976333316415548 0.060635577072389424 0.7405589018017054 -3.741123951971531 -0.4738199794664979 1.7107155993580818
0.6978453435003757 0.060531633673235774 0.7404710538685322 -3.741135209798813 -0.47376825101673603 1.7107154875993729
0.6980982255190611 0.060408360906876624 0.74036686681211 -3.7411485463380814 -0.47370690014213324 1.710715375840664
0.6983511075377464 0.06028508814051747 0.7402626797556877 -3.74116188287735 -0.47364554926753044 1.710715264081955
0.6986039895564318 0.06016181537415832 0.7401584926992655 -3.7411752194166183 -0.47358419839292765 1.710715152323246
0.6988568715751171 0.06003854260779917 0.7400543056428432 -3.741188555955887 -0.47352284751832485 1.710715040564537
0.6991097535938025 0.05991526984144002 0.739950118586421 -3.7412018924951553 -0.47346149664372206 1.710714928805828
0.6993626356124878 0.05979199707508087 0.7398459315299988 -3.741215229034424 -0.47340014576911926 1.7107148170471191
0.699677487835288 0.0596410168800503 0.7397183496505022 -3.741231620311737 -0.4733250066637993 1.7107146494090557
0.6999923400580883 0.05949003668501973 0.7395907677710056 -3.7412480115890503 -0.4732498675584793 1.7107144817709923
0.7003071922808886 0.05933905648998916 0.7394631858915091 -3.7412644028663635 -0.47317472845315933 1.7107143141329288
0.7006220445036888 0.05918807629495859 0.7393356040120125 -3.7412807941436768 -0.47309958934783936 1.7107141464948654
0.7009368967264891 0.05903709609992802 0.7392080221325159 -3.74129718542099 -0.4730244502425194 1.710713978856802
0.7012517489492893 0.05888611590489745 0.7390804402530193 -3.7413135766983032 -0.4729493111371994 1.7107138112187386
0.7016000617295504 0.05872121546417475 0.738941079005599 -3.7413314655423164 -0.472867245785892 1.7107136212289333
0.7019706815481186 0.05854703485965729 0.7387938648462296 -3.7413503527641296 -0.4727805629372597 1.710713416337967
0.7023413013666868 0.05837285425513983 0.7386466506868601 -3.741369239985943 -0.47269388008862734 1.7107132114470005
0.702711921185255 0.05819867365062237 0.7384994365274906 -3.741388127207756 -0.472607197239995 1.710713006556034
0.7030825410038233 0.05802449304610491 0.7383522223681211 -3.7414070144295692 -0.47252051439136267 1.7107128016650677
0.7034531608223915 0.05785031244158745 0.7382050082087517 -3.7414259016513824 -0.47243383154273033 1.7107125967741013
0.703833868727088 0.057672288618050516 0.7380545474588871 -3.741445206105709 -0.47234523575752974 1.7107123956084251
0.7042549289762974 0.05747889191843569 0.7378911003470421 -3.7414661794900894 -0.4722489882260561 1.7107122093439102
0.7046759892255068 0.05728549521882087 0.7377276532351971 -3.7414871528744698 -0.47215274069458246 1.7107120230793953
0.7050970494747162 0.05709209851920605 0.737564206123352 -3.74150812625885 -0.4720564931631088 1.7107118368148804
